,Year,TET,PEN,AZI,CIP,CFX,CRO
0,2000,0.198681560153818,0.14154916681926388,0.003479216260758103,0.003479216260758103,0.0,0.0
1,2001,0.17020109689213894,0.11371115173674588,0.002742230347349177,0.006946983546617916,0.0007312614259597807,0.0
2,2002,0.15203145478374835,0.08144542220557947,0.00617861823628534,0.021718779254821196,0.0,0.0
3,2003,0.14384191176470587,0.06602328431372549,0.003982843137254902,0.041207107843137254,0.0,0.0
4,2004,0.143784639746635,0.065083135391924,0.009026128266033254,0.06761678543151227,0.00031670625494853525,0.0
5,2005,0.1731482975633371,0.09375504276262708,0.005647894142326932,0.09375504276262708,0.0,0.0
6,2006,0.20630749014454666,0.11530880420499343,0.0022996057818659658,0.13846911957950064,0.000164257555847569,0.0
7,2007,0.20519221168247628,0.1291396238974871,0.0044932601098352475,0.14827758362456314,0.0,0.0
8,2008,0.17648086667831556,0.11165472654202341,0.0019220688450113576,0.1354184868076184,0.0,0.0
9,2009,0.16731863442389758,0.1248221906116643,0.0021337126600284497,0.09619487908961594,0.0007112375533428165,0.0
10,2010,0.20196871154860258,0.1288451397433644,0.004746001054666901,0.12462647213921603,0.0015820003515556336,0.0
11,2011,0.22767203513909223,0.11841142020497804,0.0029282576866764276,0.1328696925329429,0.0005490483162518302,0.0
12,2012,0.23499361430395913,0.13227513227513227,0.002736726874657909,0.14760080277321658,0.0005473453749315818,0.00018244845831052726
13,2013,0.23660262891809908,0.12217728345129761,0.005561172901921132,0.160262891809909,0.0,0.0
14,2014,0.25240999409797366,0.16230572496557152,0.024395042297855597,0.1918158567774936,0.0003934684241589612,0.0
15,2015,0.24279595015576325,0.1573208722741433,0.02589563862928349,0.2235202492211838,0.0009735202492211838,0.0
16,2016,0.22592310620479636,0.17757898743814238,0.03616292348686715,0.2679862961553102,0.00019033117624666921,0.0
17,2017,0.23098201936376211,0.15807152736613317,0.04366725943489429,0.3011262596324837,0.00019758940920766647,0.0
18,2018,0.2562560620756547,0.13714839961202716,0.04558680892337536,0.31212415130940835,0.0003879728419010669,0.0
19,2019,0.278041651443186,0.12751187431494337,0.05133357690902448,0.35421994884910485,0.00018268176835951772,0.00018268176835951772
20,2020,0.19753417314392924,0.1227552934870008,0.058161350844277676,0.3478960064325918,0.0002680246582685607,0.0
21,2021,0.2064448519779932,0.1202515064186534,0.04610951008645533,0.3285302593659942,0.0,0.0
22,2022,0.20146619603584034,0.1265272875373337,0.040727667662231876,0.3141460765680152,0.0,0.0
